lambda_param,alpha,delta,epsilon,decay,xmin,ks,R_ln,p_ln,R_exp,p_exp,num_avalanches,num_seeds
10,1.734169414277896,0.7,0.03,0.8,0.010000000000000009,0.278632704325131,-1504.3315623721462,6.112804770854481e-196,-1564.5830193577933,0.0,4364,3
10,2.215347230304755,0.7,0.03,0.9,0.010000000000000009,0.2363799554101333,-454.5718325905667,1.1429250217105248e-56,-536.2199999048621,4.553354094660028e-107,3484,3
10,2.6114245592907848,0.7,0.03,0.95,0.010000000000000009,0.2286638227321776,-132.07401723221943,4.812853572141808e-17,-182.3546873156868,1.849112088024753e-16,3095,3
10,1.7335719598785544,0.7,0.05,0.8,0.010000000000000009,0.2795331153823577,-1582.7734870371662,4.5207399863416704e-213,-1593.4874228371236,0.0,4298,3
10,2.246069954963231,0.7,0.05,0.9,0.010000000000000009,0.24157199224400006,-430.9242248374345,5.611230499513823e-52,-514.7405155604921,1.0331055170324777e-100,3429,3
10,2.5132350359919986,0.7,0.05,0.95,0.010000000000000009,0.23846043486372043,-200.4659346499001,6.512610854500221e-25,-265.1499001262203,4.471636354310221e-33,3121,3
10,1.6892622164510982,0.9,0.01,0.8,0.010000000000000009,0.2880506910632118,-1853.4487717797783,3.1710484090424645e-249,-1846.6296119432607,0.0,4523,3
10,2.1894519755967927,0.9,0.01,0.9,0.010000000000000009,0.24333613015985722,-517.3758226318107,1.5342811861558978e-64,-592.4722317090162,1.1522170696811508e-127,3589,3
10,2.4119163560110213,0.9,0.01,0.95,0.010000000000000009,0.2520275707077304,-299.38073154394095,1.6690008950121483e-37,-366.1952512780594,1.3091097329561653e-65,3133,3
10,1.7236050183990868,0.9,0.03,0.8,0.010000000000000009,0.28723563464573676,-1673.7009262827416,3.5930827805638495e-217,-1693.1281528155691,0.0,4441,3
10,2.152870769321659,0.9,0.03,0.9,0.010000000000000009,0.2420944601909894,-517.6608735218518,1.3441415221140084e-63,-611.4874575180729,1.2359607119085067e-122,3657,3
10,2.4924400156109474,0.9,0.03,0.95,0.010000000000000009,0.2520842828889347,-226.3465136570379,9.309204152886905e-29,-286.9679149425856,4.406013633868087e-42,3031,3
10,1.7524534234900715,0.9,0.05,0.8,0.010000000000000009,0.27649942657875676,-1498.2201394357335,1.836662683426619e-198,-1536.7380992422338,0.0,4322,3
10,2.1134130282381127,0.9,0.05,0.9,0.010000000000000009,0.2598877531809114,-653.0319854289495,1.1487753833801625e-80,-717.8118690171038,5.1168337517465605e-177,3699,3
10,2.4096829537613456,0.9,0.05,0.95,0.010000000000000009,0.24496848294418785,-273.2524150388673,5.775168036003724e-34,-343.56233952326465,1.6093342757770553e-57,3020,3
20,1.7471082716316158,0.5,0.01,0.8,0.010000000000000009,0.2839943054276191,-1499.3709249316282,4.744528444866962e-191,-1534.3642927235016,0.0,4223,3
20,2.073579801188001,0.5,0.01,0.9,0.010000000000000009,0.26205108610128086,-738.7053562167209,3.454519370530589e-90,-803.212400001548,5.298058080272657e-211,3786,3
20,2.470525157592585,0.5,0.01,0.95,0.010000000000000009,0.2550148343507248,-270.0696907247532,3.207216270840213e-33,-333.33610332021635,2.1602522061829667e-59,2988,3
20,1.7988368471899916,0.5,0.03,0.8,0.010000000000000009,0.27624148671536464,-1340.8606061999917,9.617572165961944e-170,-1388.4855014378404,0.0,4234,3
20,2.2095947795145885,0.5,0.03,0.9,0.010000000000000009,0.24803414310473626,-507.8852164313438,2.0973460240158367e-61,-585.0037595646463,1.7358171047228967e-130,3489,3
20,2.4738043334109747,0.5,0.03,0.95,0.010000000000000009,0.2648874446210219,-269.572745618111,3.307768711267298e-34,-325.15660234808956,3.847703008332898e-60,2914,3
20,1.8385630518356075,0.5,0.05,0.8,0.010000000000000009,0.2692242329488825,-1272.087519551069,4.1874812361731165e-168,-1308.1401064003292,0.0,4278,3
20,2.2122685242394704,0.5,0.05,0.9,0.010000000000000009,0.24348023298063928,-503.66498337768166,8.136942117829283e-63,-572.3470438473337,1.9791489533537282e-128,3473,3
20,2.540431715161075,0.5,0.05,0.95,0.010000000000000009,0.2638336654621916,-222.36192744841784,2.844601377298505e-28,-274.7858594908596,3.370445411323355e-43,2915,3
20,1.7176053923397936,0.7,0.01,0.8,0.010000000000000009,0.295458889683824,-1847.8762297912747,1.088546569223787e-247,-1794.8781571215509,0.0,4490,3
