kappa,Recycle_Rate
0.05,0.9
0.05,0.92
0.05,0.85
0.05,0.86
0.05,0.89
0.05,0.92
0.05,0.86
0.05,0.77
0.05,0.88
0.05,0.88
0.05,0.89
0.05,0.89
0.05,0.88
0.05,0.92
0.05,0.92
0.05,0.9
0.05,0.88
0.05,0.87
0.05,0.88
0.05,0.92
0.05,0.84
0.05,0.9
0.05,0.85
0.05,0.85
0.05,0.91
0.05,0.81
0.05,0.91
0.05,0.89
0.05,0.87
0.05,0.91
0.05,0.92
0.05,0.85
0.05,0.76
0.05,0.89
0.05,0.92
0.05,0.9
0.05,0.89
0.05,0.82
0.05,0.87
0.05,0.91
0.05,0.89
0.05,0.89
0.05,0.81
0.05,0.84
0.05,0.84
0.05,0.9
0.05,0.88
0.05,0.89
0.05,0.87
0.05,0.92
0.05,0.87
0.05,0.88
0.05,0.86
0.05,0.85
0.05,0.89
0.05,0.92
0.05,0.89
0.05,0.84
0.05,0.88
0.05,0.87
0.05,0.89
0.05,0.89
0.05,0.83
0.05,0.88
0.05,0.9
0.05,0.91
0.05,0.94
0.05,0.85
0.05,0.9
0.05,0.85
0.05,0.85
0.05,0.89
0.05,0.81
0.05,0.87
0.05,0.91
0.05,0.88
0.05,0.9
0.05,0.86
0.05,0.88
0.05,0.89
0.05,0.89
0.05,0.89
0.05,0.87
0.05,0.88
0.05,0.91
0.05,0.9
0.05,0.89
0.05,0.85
0.05,0.9
0.05,0.87
0.05,0.86
0.05,0.93
0.05,0.87
0.05,0.91
0.05,0.87
0.05,0.85
0.05,0.88
0.05,0.89
0.05,0.78
0.05,0.84
0.05,0.82
0.05,0.9
0.05,0.82
0.05,0.9
0.05,0.87
0.05,0.91
0.05,0.85
0.05,0.86
0.05,0.91
0.05,0.91
0.05,0.92
0.05,0.87
0.05,0.89
0.060000000000000005,0.9
0.060000000000000005,0.87
0.060000000000000005,0.87
0.060000000000000005,0.91
0.060000000000000005,0.86
0.060000000000000005,0.89
0.060000000000000005,0.91
0.060000000000000005,0.85
0.060000000000000005,0.89
0.060000000000000005,0.85
0.060000000000000005,0.91
0.060000000000000005,0.84
0.060000000000000005,0.86
0.060000000000000005,0.86
0.060000000000000005,0.93
0.060000000000000005,0.83
0.060000000000000005,0.9
0.060000000000000005,0.8
0.060000000000000005,0.82
0.060000000000000005,0.88
0.060000000000000005,0.91
0.060000000000000005,0.86
0.060000000000000005,0.88
0.060000000000000005,0.85
0.060000000000000005,0.85
0.060000000000000005,0.87
0.060000000000000005,0.9
0.060000000000000005,0.89
0.060000000000000005,0.88
0.060000000000000005,0.93
0.060000000000000005,0.9
0.060000000000000005,0.87
0.060000000000000005,0.85
0.060000000000000005,0.86
0.060000000000000005,0.88
0.060000000000000005,0.87
0.060000000000000005,0.8
0.060000000000000005,0.87
0.060000000000000005,0.91
0.060000000000000005,0.88
0.060000000000000005,0.9
0.060000000000000005,0.87
0.060000000000000005,0.91
0.060000000000000005,0.86
0.060000000000000005,0.83
0.060000000000000005,0.89
0.060000000000000005,0.9
0.060000000000000005,0.91
0.060000000000000005,0.85
0.060000000000000005,0.82
0.060000000000000005,0.9
0.060000000000000005,0.88
0.060000000000000005,0.9
0.060000000000000005,0.89
0.060000000000000005,0.84
0.060000000000000005,0.89
0.060000000000000005,0.87
0.060000000000000005,0.82
0.060000000000000005,0.87
0.060000000000000005,0.89
0.060000000000000005,0.87
0.060000000000000005,0.89
0.060000000000000005,0.9
0.060000000000000005,0.87
0.060000000000000005,0.87
0.060000000000000005,0.88
0.060000000000000005,0.89
0.060000000000000005,0.84
0.060000000000000005,0.85
0.060000000000000005,0.85
0.060000000000000005,0.91
0.060000000000000005,0.83
0.060000000000000005,0.88
