delta,alpha,lambda_param,Recycle_Rate,Run
0.41289062500000007,0.940234375,0.501953125,0.86,159
0.532421875,0.370703125,2.9136718750000004,0.86,160
0.525390625,0.370703125,2.9136718750000004,0.86,161
0.532421875,0.827734375,2.9136718750000004,0.89,162
0.532421875,0.370703125,2.3394531250000004,0.98,163
0.532421875,0.827734375,2.3394531250000004,0.99,164
0.525390625,0.370703125,2.3394531250000004,0.99,165
0.525390625,0.827734375,2.9136718750000004,0.89,166
0.525390625,0.827734375,2.3394531250000004,0.89,167
0.982421875,0.820703125,0.46367187500000007,0.95,168
0.975390625,0.820703125,0.46367187500000007,0.95,169
0.982421875,0.37773437500000007,0.46367187500000007,0.88,170
0.982421875,0.820703125,4.789453125,1.0,171
0.982421875,0.37773437500000007,4.789453125,0.9,172
0.975390625,0.820703125,4.789453125,0.9,173
0.975390625,0.37773437500000007,0.46367187500000007,0.9,174
0.975390625,0.37773437500000007,4.789453125,0.9,175
0.757421875,0.14570312500000002,4.138671875,0.9,176
0.300390625,0.14570312500000002,4.138671875,0.95,177
0.757421875,0.152734375,4.138671875,0.9,178
0.757421875,0.14570312500000002,3.5644531250000004,0.9,179
0.757421875,0.152734375,3.5644531250000004,0.9,180
0.300390625,0.14570312500000002,3.5644531250000004,0.9,181
0.300390625,0.152734375,4.138671875,0.95,182
0.300390625,0.152734375,3.5644531250000004,0.9,183
0.307421875,0.595703125,1.6886718750000003,1.0,184
0.750390625,0.595703125,1.6886718750000003,0.95,185
0.307421875,0.602734375,1.6886718750000003,0.95,186
0.307421875,0.595703125,1.1144531250000003,0.95,187
0.307421875,0.602734375,1.1144531250000003,0.9,188
0.750390625,0.595703125,1.1144531250000003,1.0,189
0.750390625,0.602734375,1.6886718750000003,0.9,190
0.750390625,0.602734375,1.1144531250000003,1.0,191
0.25117187500000004,0.539453125,3.8324218750000005,0.88,192
0.919140625,0.539453125,3.8324218750000005,0.95,193
0.25117187500000004,0.32148437500000004,3.8324218750000005,1.0,194
0.25117187500000004,0.539453125,0.195703125,0.95,195
0.25117187500000004,0.32148437500000004,0.195703125,0.9,196
0.919140625,0.539453125,0.195703125,0.9,197
0.919140625,0.32148437500000004,3.8324218750000005,0.9,198
0.919140625,0.32148437500000004,0.195703125,0.9,199
0.701171875,0.989453125,1.3824218750000001,0.9,200
0.469140625,0.989453125,1.3824218750000001,0.95,201
0.701171875,0.771484375,1.3824218750000001,1.0,202
0.701171875,0.989453125,2.6457031250000003,0.9,203
0.701171875,0.771484375,2.6457031250000003,0.95,204
0.469140625,0.989453125,2.6457031250000003,1.0,205
0.469140625,0.771484375,1.3824218750000001,0.9,206
0.469140625,0.771484375,2.6457031250000003,0.95,207
0.926171875,0.314453125,2.6074218750000004,0.88,208
0.694140625,0.314453125,2.6074218750000004,0.9,209
0.926171875,0.996484375,2.6074218750000004,0.9,210
0.926171875,0.314453125,3.8707031250000004,0.9,211
0.926171875,0.996484375,3.8707031250000004,0.88,212
0.694140625,0.314453125,3.8707031250000004,0.95,213
0.694140625,0.996484375,2.6074218750000004,0.9,214
0.694140625,0.996484375,3.8707031250000004,1.0,215
0.476171875,0.764453125,0.15742187500000002,0.88,216
0.244140625,0.764453125,0.15742187500000002,1.0,217
0.476171875,0.546484375,0.15742187500000002,0.88,218
0.476171875,0.764453125,1.4207031250000002,0.95,219
0.476171875,0.546484375,1.4207031250000002,0.95,220
0.244140625,0.764453125,1.4207031250000002,0.9,221
0.244140625,0.546484375,0.15742187500000002,0.95,222
0.244140625,0.546484375,1.4207031250000002,0.95,223
0.363671875,0.201953125,1.9949218750000002,0.9,224
0.131640625,0.201953125,1.9949218750000002,0.95,225
0.363671875,0.433984375,1.9949218750000002,0.9,226
0.363671875,0.201953125,0.808203125,0.95,227
0.363671875,0.433984375,0.808203125,0.95,228
0.131640625,0.201953125,0.808203125,0.9,229
0.131640625,0.433984375,1.9949218750000002,0.95,230
0.131640625,0.433984375,0.808203125,0.9,231
0.813671875,0.651953125,4.444921875,0.95,232
0.581640625,0.651953125,4.444921875,0.95,233
0.813671875,0.883984375,4.444921875,0.88,234
0.813671875,0.651953125,3.2582031250000005,0.88,235
0.813671875,0.883984375,3.2582031250000005,0.88,236
0.581640625,0.651953125,3.2582031250000005,0.9,237
0.581640625,0.883984375,4.444921875,1.0,238
0.581640625,0.883984375,3.2582031250000005,0.9,239
0.5886718750000001,0.42695312500000004,0.769921875,0.88,240
0.35664062500000004,0.42695312500000004,0.769921875,1.0,241
0.5886718750000001,0.658984375,0.769921875,0.95,242
0.5886718750000001,0.42695312500000004,4.483203125,0.95,243
0.5886718750000001,0.658984375,4.483203125,0.88,244
0.35664062500000004,0.42695312500000004,4.483203125,0.9,245
0.35664062500000004,0.658984375,0.769921875,0.9,246
0.35664062500000004,0.658984375,4.483203125,0.95,247
